"","name","itemLevel","upgradeLvl","bind","hand","type","damageLow","damageHigh","speed","dps","orOption","agility","critStrike","haste","intellect","mastery","stamina","strength","versatility","durability","reqLvl","sellPriceGold","sellPriceSilver","sellPriceCopper","side","expansion","patchNum"
"1","Mastercraft Kalu'ak Fishing Pole","200",NA,"Binds when picked up","Two-Hand","Fishing Pole","118","178","3.00","49.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",NA,"25","60","89",NA,"Wrath of the Lich King","3.0.2"
"2","Seth's Graphite Fishing Pole","60",NA,"Binds when picked up","Two-Hand","Fishing Pole","60","90","3.00","25.01",NA,NA,NA,NA,NA,NA,"52",NA,NA,"55",NA,"5","1","77",NA,"The Burning Crusade","2.1.0"
"3","Nat Pagle's Extreme Angler FC-5000","50",NA,"Binds when picked up","Two-Hand","Fishing Pole","49","75","3.00","20.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55",NA,"2","85","80",NA,"Classic","1.11.1"
"4","Emil's Brand","32",NA,"Binds when picked up","Two-Hand","Sword","31","52","3.60","11.57",NA,NA,NA,NA,NA,NA,"3","11",NA,"85",19,NA,"70","87","Alliance","Classic","1.11.1"
"5","Brutal War Axe","30",NA,"Binds when equipped","Two-Hand","Axe","25","53","3.60","10.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",25,NA,"56","27",NA,"Classic","1.11.1"
"6","Mighty Iron Hammer","30",NA,"Binds when equipped","One-Hand","Mace","19","25","2.60","8.52",NA,NA,NA,NA,NA,NA,NA,"5",NA,"75",25,NA,"45","52",NA,"Classic","1.11.1"
"7","Viking Sword","30",NA,"Binds when equipped","One-Hand","Sword","16","28","2.60","8.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",25,NA,"44","36",NA,"Classic","1.11.1"
"8","Darksteel Bastard Sword","30",NA,"Binds when equipped","Two-Hand","Sword","29","49","3.60","10.90",NA,NA,NA,"7",NA,NA,NA,"8",NA,"85",25,NA,"57","9",NA,"Classic","1.11.1"
"9","Riot Stick","30",NA,"Binds when picked up","Two-Hand","Staff","40","55","3.60","13.24",NA,NA,"7",NA,"7",NA,"10",NA,NA,"100",20,NA,"69","86","Alliance","Cataclysm","4.0.3"
"10","Honed Stiletto","30",NA,"Binds when equipped","One-Hand","Dagger","11","19","1.80","8.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55",25,NA,"44","26",NA,"Classic","1.11.1"
"11","Big Iron Fishing Pole","30",NA,NA,"Two-Hand","Fishing Pole","24","37","3.00","10.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55",25,NA,"33","78",NA,"Classic","1.11.1"
"12","Bearded Boneaxe","30",NA,"Binds when equipped","One-Hand","Axe","17","36","2.60","10.25",NA,"3",NA,NA,NA,NA,NA,"3",NA,"90",25,NA,"51","43",NA,"Classic","1.11.1"
"13","Headsplitter","30",NA,"Binds when equipped","One-Hand","Axe","17","36","2.60","10.25",NA,NA,NA,NA,NA,NA,"4","3",NA,"90",25,NA,"56","5",NA,"Classic","1.11.1"
"14","Thermaplugg's Left Arm","29",NA,"Binds when picked up","Two-Hand","Axe","29","62","3.60","12.75",NA,NA,"4","7",NA,NA,"12","8",NA,"100",24,NA,"63","25",NA,"Classic","1.11.1"
"15","Vibroblade","29",NA,"Binds when equipped","One-Hand","Axe","16","35","2.60","9.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90",24,NA,"48","7",NA,"Classic","1.11.1"
"16","Long Battle Bow","29",NA,"Binds when equipped","Ranged","Bow","26","36","3.00","10.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",24,NA,"50","66",NA,"Classic","1.11.1"
"17","Glass Shooter","29",NA,"Binds when picked up","Ranged","Gun","26","50","3.00","12.79",NA,"8",NA,"3",NA,NA,"12",NA,"8","100",24,NA,"62","58",NA,"Classic","1.11.1"
"18","Hi-Tech Supergun","29",NA,"Binds when equipped","Ranged","Gun","26","50","3.00","12.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",24,NA,"60","54",NA,"Classic","1.11.1"
"19","Moonsight Rifle","29",NA,"Binds when equipped","Ranged","Gun","22","41","3.00","10.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",24,NA,"53","5",NA,"Classic","1.11.1"
"20","Oiled Blunderbuss","29",NA,NA,"Ranged","Gun","13","25","3.00","6.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",24,NA,"19","55",NA,"Classic","1.11.1"
"21","Royal Diplomatic Scepter","29",NA,"Binds when picked up","One-Hand","Mace","11","14","2.60","4.86",NA,NA,"2",NA,"20",NA,"5",NA,"2","90",24,NA,"50","24",NA,"Classic","1.11.1"
